epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4020.85,1.26408,1.32524,1.39024,0.59927,0.47392,0.47973,0.26139,1.59068,1.61559,1.8016,0.0004754,0.0004754,0.0004754
79,4072.32,1.24595,1.29428,1.37957,0.55326,0.51456,0.50138,0.28652,1.53193,1.59356,1.78119,0.0004556,0.0004556,0.0004556
80,4125.76,1.24413,1.28807,1.37316,0.58984,0.48106,0.50455,0.28587,1.52493,1.55616,1.77148,0.0004358,0.0004358,0.0004358
81,4177.29,1.23889,1.29193,1.37499,0.57308,0.5152,0.51508,0.28864,1.51762,1.53404,1.77426,0.000416,0.000416,0.000416
82,4228.83,1.22883,1.28184,1.37339,0.55257,0.54577,0.51508,0.27837,1.56059,1.59706,1.83071,0.0003962,0.0003962,0.0003962
83,4280.04,1.22627,1.26226,1.37293,0.61272,0.49023,0.49937,0.28497,1.54138,1.56271,1.76843,0.0003764,0.0003764,0.0003764
84,4331.45,1.22907,1.26622,1.37133,0.65172,0.47535,0.50641,0.2847,1.55142,1.56547,1.78321,0.0003566,0.0003566,0.0003566
85,4382.86,1.23873,1.26264,1.37085,0.61431,0.48232,0.51165,0.28943,1.57106,1.57657,1.82437,0.0003368,0.0003368,0.0003368
86,4434.27,1.22898,1.251,1.37486,0.60822,0.51384,0.50143,0.28615,1.58992,1.56174,1.85031,0.000317,0.000317,0.000317
87,4485.71,1.22271,1.24814,1.36207,0.60546,0.51761,0.51617,0.28297,1.58361,1.54238,1.85886,0.0002972,0.0002972,0.0002972
88,4537.12,1.21177,1.23091,1.36154,0.57024,0.54577,0.51724,0.28922,1.58138,1.55335,1.82377,0.0002774,0.0002774,0.0002774
89,4588.63,1.21912,1.24278,1.36076,0.62345,0.47805,0.50405,0.28719,1.58074,1.56766,1.84603,0.0002576,0.0002576,0.0002576
90,4640.08,1.20931,1.23193,1.35233,0.63459,0.50352,0.53703,0.29243,1.57075,1.55759,1.81331,0.0002378,0.0002378,0.0002378
91,4691.87,1.18186,1.1393,1.3352,0.59765,0.49648,0.5229,0.29104,1.5666,1.59708,1.81885,0.000218,0.000218,0.000218
92,4743.07,1.15854,1.10207,1.31167,0.62934,0.48944,0.5161,0.29357,1.52725,1.56549,1.76459,0.0001982,0.0001982,0.0001982
93,4794.16,1.14729,1.08028,1.30412,0.69006,0.48604,0.53322,0.29568,1.5452,1.58585,1.79952,0.0001784,0.0001784,0.0001784
94,4845.28,1.13131,1.06794,1.3013,0.6874,0.46479,0.51401,0.29059,1.55452,1.59056,1.81056,0.0001586,0.0001586,0.0001586
95,4896.42,1.13122,1.05019,1.29893,0.60297,0.49197,0.51206,0.28799,1.57114,1.62685,1.81533,0.0001388,0.0001388,0.0001388
96,4947.48,1.12615,1.04191,1.30396,0.58811,0.53169,0.52565,0.29341,1.56911,1.55876,1.81668,0.000119,0.000119,0.000119
97,4998.56,1.12517,1.02976,1.29363,0.66329,0.4786,0.52782,0.28794,1.58068,1.55815,1.83692,9.92e-05,9.92e-05,9.92e-05
98,5049.68,1.10692,1.01748,1.2855,0.62888,0.48944,0.51863,0.28762,1.57494,1.5605,1.82647,7.94e-05,7.94e-05,7.94e-05
99,5100.88,1.11347,1.02196,1.28795,0.65739,0.46831,0.51846,0.28632,1.58263,1.58032,1.83279,5.96e-05,5.96e-05,5.96e-05
100,5152.09,1.11376,0.99997,1.28249,0.63675,0.49296,0.51864,0.28727,1.58873,1.59878,1.83588,3.98e-05,3.98e-05,3.98e-05
